index,seedtweet
0," O Presidente @ArthurLira_ ,após ouvir a maioria dos líderes, houve por bem submeter a PEC 03/21 a uma comissão especial. Não será submetida à CCJ, pois a admissibilidade já foi aprovada. Foi a melhor solução para que possamos discutir melhor o texto. "
1," Dentre outros fatores, amanhã votarei pela libertação do Dep. Fed. @danielPMERJ em nome das garantias da imunidade parlamentar, liberdade de expressão, devido processo legal, ampla defesa e contraditório. "
2," STF decide manter a prisão do Deputado @danielPMERJ.  O próximo passo, segundo o Presidente da Câmara, @ArthurLira_, será votação na Câmara para que o plenário, por maioria absoluta, decida sobre a prisão (art. 53 § 2º da CF).  A sessão está marcada para esta quinta-feira (18/2). "
3, O Conselho de Ética da Câmara vai começar a tratar com rigor algumas ofensas às autoridades dos Poderes. Estou aproveitando e fazendo uma coletânea de insultos contra o PR Bolsonaro. O q acham q o STF pensa sobre esse crime cometido por um deputado do PT? É inafiançável também? https://t.co/JsZF8bazT6 
4," Viúvas da ditadura se arvoram contra o STF apoiando deputado bolsonarista que fez apologia à ditadura. Em nome da democracia, o Clube Militar tem q ficar onde está, na reserva e fora da vida pública. É hora de compromisso c/ o desenvolvimento e os verdadeiros interesses do país. "
5, É impressão ou o presidente da Anvisa - uma entidade da Ciência - usou hoje em entrevista à CNN símbolos da Ordem de Malta? Ele faz parte de entidades ultraconservadoras religiosas? E a TFP? https://t.co/ygWZMyjfaz 
6, Tá proibido esquecer que o Bolsonaro:  - Prometeu extinguir a EBC - Prometeu 15 ministérios - Prometeu combater a corrupção - Prometeu privatizar estatais - Prometeu acabar com reeleição - Prometeu acabar com toma lá dá cá  https://t.co/tL8BYkNJpY 
7, A Câmara acaba de aprovar a autonomia do Banco Central por 339 x 114. Enquanto isso 68 milhões de brasileiros seguem sem o auxílio emergencial. 
8," O crime compensa, sim, disse hoje a 2a Turma do STF ao louvar a ação de hackers e dar seguimento ao longo cortejo fúnebre da Lava Jato. Kassio Nunes, que Bolsonaro disse estar 100% alinhado, faz questão de carregar pela alça frontal o caixão do combate à corrupção. Vergonhoso! "
9," O Presidente @jairbolsonaro quer baixar preço do combustível. O governador @jdoriajr é contra. Quem está do lado do Povo???? Mentira é que nem gravidez, sempre aparece!!! https://t.co/Uns01aQKNG "
10, Mas pq os ministros do STF não se contentam em ser só juízes ??? 
11, Bolsonaro considera a parte pelo todo. Acha que seu mundo extremo representa o país. O povo não está vibrando. O povo não quer armas. A população anseia pelas vacinas. 
12," Com mais de 20 mil papelotes de cocaína, o tal do Max do PCC é liberado após 24 horas de prisão. https://t.co/IUZQamMmYy "
13," Foi confirmada para amanhã, às 17h, a sessão deliberativa da @camaradeputados para tratar da apreciação da medida cautelar do STF contra o Deputado @danielPMERJ.  O voto será aberto.  São necessários 257 votos para manter ou reverter a prisão. "
14," Estamos no começo do ano e parece que 2020 não acabou. Não bastasse a pandemia, temos Bolsonaro desprezando 250 mil vidas, as políticas públicas se esvaindo, venda do Estado, redução de investimentos na saúde e educação, o povo com fome e sem emprego. O brasileiro não merece isso "
15," Pra família o filé mignon, pros amigos a lagosta e a picanha, já o brasileiro assiste tudo isso de camarote enquanto o preço da carne explode nos açougues. "
16, Quem defende o estado de direito não pode permitir prisão ilegal sob qualquer pretexto. Hoje no Brasil há 130 deputados federais capazes de manter essa coerência. Valorize-os pois é o que temos. 
17," Bolsonaro acaba de publicar decreto que amplia p/ 6 o número de armas que civis podem ter. A política armamentista do presidente não é apenas sobre insegurança pública, é sobre democracia. Bolsonaro está armando seus apoiadores p/ ameaçar as instituições. O golpe está em curso. "
18," Dois projetos importantíssimos aprovados agora há pouco na Câmara: autonomia do Banco Central e Nova Lei Cambial! Apesar das obstruções, corpo mole e má vontade de quem só quer atrapalhar, vencemos cada obstáculo mais uma vez. Quem ganha é o Brasil! "
19," A Câmara pode ajudar o Brasil, mais uma vez, a reforçar seu compromisso com a democracia. Não podemos permitir que grupos bolsonaristas continuem perpetuando a ideia de fechamento de instituições como o Congresso Nacional e o STF. "
20," A PEC inicialmente da imunidade foi sendo alterada conforme ia tramitando. Ao final restou clara a falta de apoio e ela acabou nem sendo votada.  Era para resguardar as falas de parlamentares, terminou sendo para resguardar eventuais crimes.  Desta maneira, sou contra. "
21," Se o General Silva e Luna fizer 10% na Petrobrás o que ele fez na Itaipu, o Brasil vai decolar.  E @jairbolsonaro está dentro da sua prerrogativa.  Confie verá. "
22," Estou fazendo pesquisa minuciosa (vídeos e postagens) sobre todos deputados do PT, PSOL, PCdoB e demais partidos de esquerda q ofenderam a honra do PR Bolsonaro e deputados aliados. Levarei tudo ao Conselho de Ética já q agora será ferro e fogo. Pau q dá em Chico dá em Francisco. "
23," Bolsonaro descumpre promessa e não corrige tabela do IR. Quem ganha mais de R$ 1.900 tem de pagar. Já quem ganha milhões em dividendos segue isento. É a tônica desse governo, o trabalhador paga mais e ricos pagam menos, jatinhos e iates não são taxados. "
24, Dezoito (DEZOITO) governadores assinaram carta repudiando a MENTIRA de Bolsonaro sobre ter repassado mais de R$ 830 bi aos estados. 
25," Estou, junto com colegas do NOVO e do Cidadania, há 5 horas segurando a votação da PEC da Impunidade com requerimentos de obstrução e questões de ordem. O painel mostra que a demora está fazendo eles perderem votos, cada vez menos deps votam. VAMOS ATÉ O FINAL. "
26, Imagina se Bolsonaro fosse tão eficiente em comprar vacina como é em liberar arma... 
27," Lamento que parlamentares que dizem defender o povo atrasem o trabalho de comissões fundamentais, como a Comissão de Ética, por exemplo. Há deputados enrolados com a justiça! O PSOL, em especial, precisa parar de atrasar o país. E a Câmara precisa andar para que o país avance! https://t.co/VmlpJVTV6M "
28, Vacina eficaz para todo o povo. Auxílio emergencial voltando a ser pago. Reformas estruturais sendo aprovadas. Prometemos e estamos cumprindo! Parabéns presidente @ArthurLira_!! https://t.co/rSMesOWV7I 
29," Mais de 250 mil mortos pela covid e o governo tratando de uma agenda fake. Deveriam direcionar os esforços para imunizar a população, mas isso nunca foi prioridade deste governo. Minha solidariedade às famílias. https://t.co/tPS1pqhKpe "
30," Pegaram o Deputado @danielPMERJ como bode expiatório. Políticos de esquerda e jornalistas de esquerda, por dezenas de vezes, ofenderam a honra do Presidente @jairbolsonaro e de parlamentares de direita e estão soltos e nem mesmo foram questionados. Dois pesos e duas medidas. "
31," Se na sua casa falta dinheiro quem se vira para pagar as contas e sustentar tudo? Por que com os estados e municípios deveria ser diferente?  Vale lembrar que os caixas dos governos estaduais está melhor hoje do que antes da pandemia, graças aos repasses do governo federal. https://t.co/kndfFMuSbm "
32, Alguns governadores parecem estar determinados a DESTRUIR seus estados com seus decretos que obrigam as pessoas a não trabalharem. Pais e mães de família apelam para que possam trabalhar e levar o sustento para suas mesas. https://t.co/YRIuEn2VlO 
33," Lamento q o objetivo do Ciro seja derrotar o PT. P/ todos q temos compromisso c/ o país e c/ o povo brasileiro, o objetivo tem de ser derrotar Bolsonaro e apoiadores do projeto ultra liberal, do arrocho, em benefício do sistema financeiro, e da retirada de direitos da população "
34," Bolsonaro diz que repassou centenas de bilhões aos estados de dinheiro do ""governo federal"". Gostaria de saber o que foi produzido nesse lugar chamado ""governo federal"". Que tipo de comércio, indústria e serviço esse lugar abriga pra ter tanto dinheiro para ""doar"" aos estados? "
35, Daniel Silveira não age sozinho. Ele é parte de uma gangue que usa cargos públicos de forma criminosa p/ atacar a democracia por dentro das instituições. O padrinho do bando é o presidente da República. Que esse seja o primeiro passo p/ que todos eles respondam por seus crimes. 
36," Na @camaradeputados me posicionei contra a prisão do deputado Daniel Silveira decretada pelo STF. Não concordo com o seu discurso, mas entendo que suas falas deveriam ser tratadas pelo Conselho de Ética e não por um ato autoritário do STF. É preciso defender a Constituição. https://t.co/hayYsjIKcV "
37," Votei pela Constituição e pela independência do Congresso. Parabéns aos outros 129 deputados que defenderam bravamente a liberdade de expressão. Registro o meu respeito aos deputados que votaram diferente. Democracia é assim: vence a maioria, e quem perde aceita o resultado. https://t.co/AtTwOrQyE5 "
38," Petrobras nunca teve prejuízo c/ política de preços adotada por Lula e Dilma, q garantiam combustíveis baratos.Em 2015, ano + crítico, teve lucro operacional (Ebitida) de U$ 25 bilhões. Lançaram prejuízo pq registraram contabilmente “perdas” c/ a lava jato e reavaliação de ativos "
39," A visita de Bolsonaro ao Ceará é o flagrante de um crime. 94% dos leitos ocupados e o presidente provocando aglomeração, atacando o isolamento... Ele quer transformar o Brasil numa cova coletiva. "
40," Lockdown só é eficaz para aglomerar. Ainda não aprenderam com a redução de horário do comércio.  O ser político é um bicho que age sob pressão e na ânsia de dizer que está fazendo algo acaba errando - isto é, partindo do princípio que é bem intencionado. "
41," O Governo Federal:  Fez o maior programa de transferência de renda da história; Pagou testes, recursos para UTI's e respiradores; Providenciou a vacina que já está em término da fase 1... Mas para a esquerda e a extrema imprensa, Bolsonaro é ""genocida"". Bem controverso, não? "
42, Hoje a Câmara dos Deputados endossou que 90% dos crimes são inafiançáveis e revogou o art. 53 por completo. O legislativo se curvou ao judiciário. 
43," A OSTENTAÇÃO DA BURRICE  Com o país atravessando o pior momento da pandemia, um grupo de negacionistas apoiadores de Bolsonaro se reuniram hoje, na AV. Paulista, para afrontar quem usava máscara e cumpria com os protocolos de prevenção indicados pelas autoridades sanitárias. https://t.co/pDrQC5Ndbw "
44," Os preços dos combustíveis no governo Dilma eram muito menores e mesmo assim a presidenta foi alvo de protestos. Hoje, os preços estão nas alturas e não se vê a mesma indignação com Bolsonaro  Nunca foi pela gasolina. O objetivo era desgastar o governo e dar o golpe, como fizeram "
45, As pessoas não sabem usar uma máscara direito cobrindo o nariz e boca e querem andar armadas. 
46," Papai Bolso deu um jeito. Foram muitos cafézinhos, almoços e favores (nem tão “inhos” assim), e bingo!!! A impunidade segue correndo frouxa. O STJ por 4 votos a 1 começa a livrar a cara de Flávio rachadinha Bolsonaro. A quebra de sigilo foi anulada. Esse é o Brasil de BolsoLula. "
47," Enquanto obstruo a PEC da Impunidade, Lira, enquanto isso, retirou minha relatoria do licenciamento ambiental, na qual trabalho há 2 anos. Não tem problema. Não vou mudar meu voto por uma relatoria. Podem barrar todos os meus projetos. SIGO OBSTRUINDO ATÉ O FINAL. "
48," Hoje, em nenhum lugar do mundo houve mais vítimas fatais do coronavírus que no Brasil. Com 1.910 mortes (dados do ministério da saúde) chegamos ao pior momento desde o início da pandemia. O pior de tudo é que a tendência é piorar. Não tenho nem o que dizer... "
49, URGENTE! Vou apresentar projetos  p/ anular os 4 novos decretos de Bolsonaro que ampliam o acesso de civis a armas e munições e afrouxam a fiscalização. Também estou incluindo essas medidas na ADI que já protocolei no STF. O presidente não pode legislar sobre armas via decreto. 
50," Espera-se do Supremo Tribunal Federal e de seus Ministros nada menos que ponderação, equilíbrio e respeito à Constituição. https://t.co/215om3IhS9 "
51," Apresentei emenda à PEC da im(p)unidade para incluir possibilidade de prisão em flagrante de parlamentar quando pego em crime contra a admininstração pública, incluindo peculato, concussão e corrupção. Agora, precisamos de 171 assinaturas! "
52," Defendi, há pouco, que a PEC que trata da imunidade parlamentar precisa ser melhor debatida nos foros regimentais adequados, como a Comissão de Constituição e Justiça e Comissão Especial. Sou contra a votação no dia de hoje. Não queremos que ela fortaleça a impunidade no país! https://t.co/Ey0TqBfd5K "
53," A privatização tanto dos Correios como de outras estatais do país vai gerar concorrência e livre mercado. Isso ajuda as empresas a aprimorarem seus serviços e faz com que o consumidor final pague menos por um serviço mais eficiente. É bom para todos nós, consumidores brasileiros! https://t.co/nKWZj60K0V "
54," Para a Coronavac tudo, para a Sputinik, nada! A Sputinik tem eficácia de 96,1%. 1 milhão de russos e 400 mil argentinos já foram vacinados com ela! México Paraguai, Venezuela,Bolívia Hungria, e Emirados Árabes tb a usam. O que está por trás dessa burocracia???! https://t.co/58NxeZ6Pcj "
55, A Constituição só autoriza prisão de parlamentar em flagrante. E o ministro Alexandre de Moraes expediu mandado de prisão contra o Dep. Daniel Silveira por ele criticar o STF. Ou o ministro é vidente ou a prisão é ilegal. Pois como ter mandado de uma prisão em flagrante? 
56, Aqui a entrevista na íntegra que concedi à Rádio Gaúcha. Falei sobre a importância de o Congresso abrir uma CPI neste momento para investigar as irregularidades cometidas no enfrentamento à pandemia. https://t.co/5tKokAWfpj 
57," Do jeito que vai caminhando a PEC emergencial para expandir os gastos públicos, o melhor seria o governo editar logo uma MP recriando o auxílio emergencial e ponto final. "
58," Engraçado que essas mesmas pessoas que se escandalizam com a ditadura e com o AI-5 querem cassar um Deputado Federal por ""crime"" de opinião. https://t.co/HYRyFO5oZ6 "
59, Prioridade na vacinação para pessoas decentes e não para bandido preso. Inversão de valores.  https://t.co/Sz4vdJsrwA 
60," Nós parlamentares, estamos aguardando o chamamento para a sessão plenária da Câmara dos Deputados. Confio na liderança do nosso presidente @ArthurLira_. https://t.co/yIAqHxyM6y "
61," Rui Costa ampliou hoje o toque de recolher. Passou das 22h às 5h para das 20h às 5h.  Vai matar mais gente:  - por agrupar mais pessoas em menos tempo de abertura dos estabelecimentos.  - de fome, pelo desemprego que causará no Estado.  Que pague depois pelos seus erros. "
62, Acabei de falar com o deputado @danielPMERJ e fiquei sabendo q sua prisão foi ordenada pelo vagabundo do @alexandre de Moraes por ele ter feito uma live criticando o Ministro Fachin. Não iremos recuar! Espero q o Presidente @ArthurLira_ haja com postura contra esses ditadores! 
63," Estamos com muito material mostrando crimes de deputados contra o Presidente e STF. Tem Joice chamando o Presidente de vagabundo e pedindo art. 142 e fechamento do STF, Freixo chamando Presidente de assassino, Samia chamando-o de genocida, etc. Vai tudo pro Conselho de Ética! "
64, Que nome a gente dá pra um governo que deixa a covid-19 se espalhar e o povo morrer e ainda quer empurrar testes que estão para vencer para o Haiti? 
65, O Supremo Tribunal Federal reagiu à agressão ao Estado Democrático de Direito e apologia ao AI-5. Este é o significado da prisão em flagrante do deputado apoiador da ditadura Daniel Silveira. Alexandre de Moraes agiu em defesa da Democracia. 
66, @jairbolsonaro qual a avaliação que você fez da decisão do STJ ontem de derrubar a quebra dos sigilos fiscais do Flávio Bolsonaro? 
67," São quase 260 mil mortes agora, não é frescura. A gripezinha está matando quase 2 mil pessoas por dia e a única forma de salvar vidas é com vacinas que Vossa Incompetência enrola pra comprar. https://t.co/yTUo2R39kb "
68," Depois de 30 dias que o Eduardo Bananinha disse que iria me processar, finalmente a ação foi distribuída. Infelizmente, foi um processo criminal, ou seja, se ele perder não vai ter que pagar meus advogados. Churrasco cancelado?? "
69, URGENTE! A ministra do STF Rosa Weber acaba de determinar que Bolsonaro dê em 5 dias explicações sobre os decretos que ampliam ainda mais o acesso de civis a armas e munições. Essa foi uma ação conjunta dos partidos de oposição. Seguimos na luta p/ derrubar as medidas. 
70," Pare de fazer politicagem c/ o desespero das pessoas e vá trabalhar, @jairbolsonaro, cumpra c/ sua obrigação! Quer que o país volte à normalidade? Compre vacina. Quer socorrer as famílias? Pague o auxílio de R$ 600, em vez de enrolar c/ essa proposta covarde de R$ 250. Sabotador! "
71, Sou contra a PEC DA IMPUNIDADE porque vai impedir praticamente por completo a prisão de congressistas corruptos e criminosos. A PEC irá prejudicar o combate à corrupção e enfraquecer a Lei da Ficha Limpa. Vamos trabalhar aqui no plenário para evitar que ela venha a ser apreciada! https://t.co/EY6UOdqJbI 
72, Apresentei emenda à PEC 3/21 (PEC DA IMPUNIDADE) incluindo os crimes contra a Administração Pública como corrupção passiva e peculato como passíveis de prisão em flagrante de parlamentares. Precisamos de 171 assinaturas de deputados para que a emenda seja apreciada pelo Plenário. https://t.co/JDFbD6dXq0 
73," Estou trabalhando incansavelmente para modificar o texto absurdo da PEC 3/2021, apresentado hoje na @camaradeputados. É a PEC DA IMPUNIDADE, que não pode ser votada na noite de hoje! https://t.co/R96nVNflP5 "
74, Confirmado! PEC da Imunidade é retirada do plenário e será criada comissão especial para tratar do tema. Obrigado a todos pelo apoio nos últimos três dias de fortes batalhas para evitar que um tema importante se transformasse em defesa da impunidade! https://t.co/pPj0w0Deis 
75, Mas alguém é contra aumentar imposto dos bancos para financiar a volta do auxílio emergencial? Banqueiro e filho de banqueiro não conta!!! 
76," Ministro @LRobertoBarroso, com a data máxima vênia, sua visão política da Venezuela é no mínimo míope! Dizer q o governo deles  é de direita é o mesmo q dizer q V.Exma. é um conservantista tradicional. Se o q diz fosse verdade pq os partidos de esquerda brasileiros apoiam Maduro? "
77, Não me assusto com a perda de valor da Petrobras. Pura especulação. Em 15 dias tudo normaliza. Mas bom mesmo era privatizarmos tudo! Pois a esquerda sempre pode voltar... 
78, Que tipo de procurador é esse que tenta impedir um Presidente da República de andar entre o seu povo em um momento difícil como este??? Por que tentam parar o Brasil a qualquer custo ??!! https://t.co/ZHbHAtTtfq 
79, Ainda bem que na casa do presidente a mãe dele já está vacinada - e com a Coronavac. Viva a vida e a ciência! https://t.co/KDcPDRIxvB 
